Open,High,Low,Close,Adj Close,Volume
2.620667,2.692667,2.552,2.588667,2.407423,4434000
2.596667,2.680667,2.564667,2.662667,2.476242,5754000
2.676,2.862,2.662667,2.846667,2.647359,11305500
2.92,2.925333,2.782667,2.848,2.648599,5265000
2.913333,2.984667,2.830667,2.862,2.661618,5494500
2.901333,2.913333,2.798667,2.826,2.628139,3736500
2.862667,2.948,2.825333,2.936667,2.731057,3955500
2.986667,3.025333,2.942,2.970667,2.762676,4545000
2.964667,2.964667,2.863333,2.876,2.674638,2404500
2.826667,2.841333,2.756,2.786667,2.59156,2850000
2.78,2.937333,2.766667,2.936667,2.731057,4380000
2.954667,3.0,2.9,2.956,2.749037,4860000
2.956,3.118,2.86,3.064667,2.850096,12943500
3.132,3.266,3.126,3.207333,2.982773,7447500
3.213333,3.272667,3.125333,3.140667,2.920775,3537000
3.192,3.209333,3.083333,3.116667,2.898455,4381500
3.146667,3.253333,3.132667,3.189333,2.966033,3516000
3.192667,3.249333,3.122667,3.244667,3.017493,4366500
3.266,3.285333,3.141333,3.226,3.000134,4740000
3.274667,3.312667,3.176,3.178,2.955494,4125000
3.163333,3.165333,2.894,2.979333,2.770736,11005500
2.979333,2.979333,2.860667,2.946,2.739738,4563000
2.865333,2.870667,2.698667,2.839333,2.640538,7308000
2.943333,3.006667,2.898667,2.908667,2.705018,8758500
2.894667,2.946667,2.856667,2.859333,2.659138,3201000
2.992,2.996667,2.938667,2.964,2.756476,3852000
2.884,2.934,2.839333,2.92,2.715558,4539000
2.914667,3.012,2.852,2.982667,2.773837,4458000
2.906,2.969333,2.873333,2.958667,2.751518,3619500
3.026667,3.127333,3.020667,3.123333,2.904654,4044000
3.151333,3.157333,3.096,3.116,2.897834,4288500
3.056667,3.156,3.041333,3.098,2.881095,4497000
3.190667,3.216,3.044667,3.056667,2.842656,4950000
3.064667,3.149333,2.99,3.004,2.793676,5382000
3.064,3.093333,3.035333,3.051333,2.837695,2971500
3.077333,3.122667,2.864,2.965333,2.757717,5791500
2.974667,3.026,2.882667,2.906,2.702538,6438000
2.92,2.969333,2.858667,2.886667,2.684559,5181000
2.834,2.914667,2.775333,2.836,2.637439,2907000
2.997333,3.084667,2.960667,3.081333,2.865595,3789000
3.086667,3.155333,3.024,3.101333,2.884194,4149000
2.886667,3.083333,2.846667,3.052,2.838316,8143500
3.122,3.170667,2.768667,2.860667,2.660379,11700000
2.956,3.198667,2.953333,3.183333,2.960454,8976000
3.2,3.235333,3.104667,3.13,2.910854,3526500
3.185333,3.333333,3.146,3.310667,3.078872,5700000
3.296,3.433333,3.286,3.425333,3.18551,6178500
3.520667,3.584667,3.403333,3.537333,3.289668,4744500
3.556,3.624667,3.514,3.61,3.357248,3157500
3.640667,3.696,3.604667,3.658,3.401887,4183500
3.763333,3.811333,3.729333,3.804667,3.538285,5646000
3.791333,3.838,3.748,3.82,3.552545,3952500
3.856,3.856,3.784667,3.836,3.567424,1351500
3.816667,3.852667,3.781333,3.804,3.537665,2221500
3.788,3.843333,3.724667,3.782,3.517205,1993500
3.787333,3.801333,3.709333,3.714,3.453966,1819500
3.700667,3.708667,3.104667,3.164667,2.943094,10963500
3.152,3.300667,3.12,3.287333,3.057172,6096000
3.37,3.436667,3.304,3.407333,3.16877,6199500
3.442,3.558667,3.440667,3.548667,3.300209,4474500
3.533333,3.793333,3.504667,3.773333,3.509145,6499500
3.782667,3.93,3.782667,3.87,3.599044,7072500
3.98,3.986,3.742667,3.821333,3.553784,5371500
3.774667,3.796667,3.640667,3.734667,3.473186,3918000
3.786667,3.937333,3.754667,3.860667,3.590364,6130500
3.866667,3.926,3.811333,3.852,3.582304,5143500
3.888,4.104667,3.877333,4.054667,3.770781,7221000
4.133333,4.145333,3.872,3.922667,3.648023,4263000
4.0,4.09,3.946667,4.044667,3.761482,4107000
3.996,3.996,3.919333,3.968667,3.866974,5374500
4.000667,4.017333,3.952667,3.968667,3.866974,2376000
